# year	month	day	hour	minute	second	millisecond	Latitude	Longitude	Altitude	Ne(WLP)	Te(WLP)	Ne(PIP)	Ne(GIS)	Vf(WLP)	Vf(FPP)
2023	 9	28	22	 1	22	104000	-47.168	138.871	435.959	-9.9900e+02	-999	-9.9900e+02	2.1969e+11	-999.00	-37.16
2023	 9	28	22	 1	22	104000	-47.168	138.871	435.959	1.4762e+11	3370	-9.9900e+02	-9.9900e+02	18.43	16.92
2023	 9	28	22	 1	23	96000	-47.142	138.953	435.945	1.4774e+11	3298	1.5753e+11	-9.9900e+02	18.43	16.92
2023	 9	28	22	 1	24	108000	-47.115	139.034	435.931	1.4786e+11	3226	-9.9900e+02	-9.9900e+02	18.41	16.92
2023	 9	28	22	 1	25	108000	-47.088	139.116	435.918	1.4639e+11	3342	1.5756e+11	-9.9900e+02	18.38	16.92
2023	 9	28	22	 1	26	108000	-47.061	139.197	435.904	1.4825e+11	3005	-9.9900e+02	-9.9900e+02	18.38	16.92
2023	 9	28	22	 1	27	108000	-47.034	139.279	435.890	1.4628e+11	2950	1.6046e+11	-9.9900e+02	18.36	16.83
2023	 9	28	22	 1	28	100000	-47.007	139.360	435.876	1.4860e+11	3107	-9.9900e+02	-9.9900e+02	18.41	16.83
2023	 9	28	22	 1	29	112000	-46.980	139.441	435.862	1.4793e+11	3030	1.6048e+11	-9.9900e+02	18.38	16.83
2023	 9	28	22	 1	30	112000	-46.953	139.522	435.848	1.5134e+11	3009	-9.9900e+02	-9.9900e+02	18.38	16.83
2023	 9	28	22	 1	32	116000	-46.898	139.684	435.820	1.5034e+11	3192	1.6052e+11	-9.9900e+02	18.36	16.83
2023	 9	28	22	 1	32	116000	-46.898	139.684	435.820	1.5224e+11	3098	-9.9900e+02	-9.9900e+02	18.36	16.83
2023	 9	28	22	 1	33	108000	-46.871	139.765	435.805	1.5265e+11	2953	1.6343e+11	-9.9900e+02	18.33	16.83
2023	 9	28	22	 1	34	116000	-46.844	139.846	435.791	1.5475e+11	3048	-9.9900e+02	-9.9900e+02	18.33	16.83
2023	 9	28	22	 1	35	116000	-46.816	139.927	435.777	1.5326e+11	2960	1.6345e+11	-9.9900e+02	18.29	16.83
2023	 9	28	22	 1	36	120000	-46.789	140.007	435.763	1.5489e+11	3046	-9.9900e+02	-9.9900e+02	18.33	16.83
2023	 9	28	22	 1	37	120000	-46.761	140.088	435.749	1.5207e+11	3563	1.6348e+11	-9.9900e+02	18.33	16.83
2023	 9	28	22	 1	38	112000	-46.733	140.168	435.734	1.5351e+11	3626	-9.9900e+02	-9.9900e+02	18.38	16.83
2023	 9	28	22	 1	39	120000	-46.705	140.249	435.720	1.5195e+11	3547	1.6350e+11	-9.9900e+02	18.29	16.83
2023	 9	28	22	 1	40	124000	-46.678	140.329	435.706	1.5362e+11	3546	-9.9900e+02	-9.9900e+02	18.33	16.83
2023	 9	28	22	 1	41	124000	-46.650	140.409	435.691	1.5261e+11	3668	1.6353e+11	-9.9900e+02	18.29	16.83
2023	 9	28	22	 1	42	124000	-46.622	140.489	435.677	1.5591e+11	3244	-9.9900e+02	-9.9900e+02	18.38	16.83
2023	 9	28	22	 1	43	116000	-46.594	140.569	435.663	1.5480e+11	3283	1.6355e+11	-9.9900e+02	18.26	16.83
2023	 9	28	22	 1	44	128000	-46.566	140.649	435.648	1.5807e+11	3294	-9.9900e+02	-9.9900e+02	18.31	16.83
2023	 9	28	22	 1	45	128000	-46.538	140.729	435.634	1.5677e+11	3203	1.6358e+11	-9.9900e+02	18.29	16.83
2023	 9	28	22	 1	46	128000	-46.510	140.809	435.619	1.5848e+11	3003	-9.9900e+02	-9.9900e+02	18.31	16.73
2023	 9	28	22	 1	48	120000	-46.453	140.968	435.590	1.5763e+11	3022	1.6654e+11	-9.9900e+02	18.26	16.73
2023	 9	28	22	 1	48	120000	-46.453	140.968	435.590	1.5901e+11	2958	-9.9900e+02	-9.9900e+02	18.31	16.73
2023	 9	28	22	 1	49	132000	-46.425	141.047	435.575	1.5637e+11	2910	1.6655e+11	-9.9900e+02	18.29	16.73
2023	 9	28	22	 1	50	132000	-46.396	141.127	435.561	1.5889e+11	3047	-9.9900e+02	-9.9900e+02	18.31	16.73
2023	 9	28	22	 1	51	132000	-46.368	141.206	435.546	1.5883e+11	3007	1.6658e+11	-9.9900e+02	18.26	16.73
2023	 9	28	22	 1	52	136000	-46.339	141.285	435.531	1.6133e+11	3066	-9.9900e+02	-9.9900e+02	18.29	16.73
2023	 9	28	22	 1	53	128000	-46.311	141.364	435.517	1.6064e+11	3105	1.6955e+11	-9.9900e+02	18.24	16.73
2023	 9	28	22	 1	54	136000	-46.282	141.443	435.502	1.6433e+11	3127	-9.9900e+02	-9.9900e+02	18.31	16.73
2023	 9	28	22	 1	55	136000	-46.253	141.522	435.487	1.6322e+11	2917	1.6663e+11	-9.9900e+02	18.24	16.73
2023	 9	28	22	 1	56	140000	-46.224	141.601	435.472	1.6501e+11	2841	-9.9900e+02	-9.9900e+02	18.26	16.73
2023	 9	28	22	 1	57	140000	-46.196	141.680	435.457	1.6462e+11	2738	1.6960e+11	-9.9900e+02	18.24	16.73
2023	 9	28	22	 1	58	132000	-46.167	141.759	435.443	1.6609e+11	2775	-9.9900e+02	-9.9900e+02	18.24	16.73
2023	 9	28	22	 1	59	140000	-46.138	141.837	435.428	1.6399e+11	2662	1.6963e+11	-9.9900e+02	18.19	16.73
2023	 9	28	22	 2	 0	144000	-46.109	141.916	435.413	1.6537e+11	2804	-9.9900e+02	-9.9900e+02	18.26	16.64
2023	 9	28	22	 2	 1	144000	-46.080	141.994	435.398	1.6419e+11	2889	1.6965e+11	-9.9900e+02	18.21	16.73
2023	 9	28	22	 2	 2	144000	-46.051	142.073	435.383	1.6461e+11	2887	-9.9900e+02	-9.9900e+02	18.24	16.64
2023	 9	28	22	 2	 3	136000	-46.021	142.151	435.368	1.6083e+11	3253	1.6968e+11	-9.9900e+02	18.19	16.64
2023	 9	28	22	 2	 4	148000	-45.992	142.229	435.353	1.6184e+11	3400	-9.9900e+02	-9.9900e+02	18.21	16.64
2023	 9	28	22	 2	 5	148000	-45.963	142.307	435.338	1.6193e+11	3340	1.7617e+11	-9.9900e+02	18.19	16.64
2023	 9	28	22	 2	 6	148000	-45.933	142.385	435.323	1.6286e+11	3259	-9.9900e+02	-9.9900e+02	18.19	16.64
2023	 9	28	22	 2	 7	148000	-45.904	142.463	435.307	1.6197e+11	3309	1.7619e+11	-9.9900e+02	18.16	16.64
2023	 9	28	22	 2	 8	144000	-45.874	142.541	435.292	1.6738e+11	2941	-9.9900e+02	-9.9900e+02	18.19	16.64
2023	 9	28	22	 2	 9	152000	-45.845	142.619	435.277	1.6693e+11	3078	1.6977e+11	-9.9900e+02	18.11	16.64
2023	 9	28	22	 2	10	152000	-45.815	142.696	435.262	1.6795e+11	3115	-9.9900e+02	-9.9900e+02	18.24	16.64
2023	 9	28	22	 2	11	152000	-45.786	142.774	435.247	1.6726e+11	3314	1.7625e+11	-9.9900e+02	18.14	16.64
2023	 9	28	22	 2	12	156000	-45.756	142.851	435.231	1.7083e+11	3262	-9.9900e+02	-9.9900e+02	18.16	16.64
2023	 9	28	22	 2	13	148000	-45.726	142.929	435.216	1.6900e+11	3333	1.8950e+11	-9.9900e+02	18.14	16.64
2023	 9	28	22	 2	14	156000	-45.696	143.006	435.201	1.7136e+11	3109	-9.9900e+02	-9.9900e+02	18.16	16.64
2023	 9	28	22	 2	15	156000	-45.666	143.083	435.185	1.7335e+11	3016	1.8287e+11	-9.9900e+02	18.06	16.59
2023	 9	28	22	 2	17	160000	-45.606	143.238	435.154	1.7425e+11	2978	-9.9900e+02	-9.9900e+02	18.14	16.54
2023	 9	28	22	 2	17	160000	-45.606	143.238	435.154	1.7271e+11	2900	1.8956e+11	-9.9900e+02	18.09	16.54
2023	 9	28	22	 2	18	152000	-45.576	143.315	435.139	1.7111e+11	3181	-9.9900e+02	-9.9900e+02	18.09	16.54
2023	 9	28	22	 2	19	164000	-45.546	143.391	435.123	1.7044e+11	3252	1.7637e+11	-9.9900e+02	18.09	16.54
2023	 9	28	22	 2	20	164000	-45.516	143.468	435.108	1.7159e+11	3323	-9.9900e+02	-9.9900e+02	18.09	16.54
2023	 9	28	22	 2	21	164000	-45.486	143.545	435.092	1.7305e+11	3246	1.8962e+11	2.6899e+11	18.06	16.54
2023	 9	28	22	 2	22	164000	-45.455	143.622	435.077	1.7504e+11	3395	-9.9900e+02	-9.9900e+02	18.14	16.54
2023	 9	28	22	 2	23	160000	-45.425	143.698	435.061	1.7899e+11	2981	1.8965e+11	-9.9900e+02	18.09	16.54
2023	 9	28	22	 2	24	168000	-45.394	143.775	435.046	1.8189e+11	2949	-9.9900e+02	-9.9900e+02	18.14	16.54
2023	 9	28	22	 2	26	168000	-45.333	143.927	435.014	1.7872e+11	3085	1.9647e+11	-9.9900e+02	18.04	16.54
2023	 9	28	22	 2	27	168000	-45.303	144.003	434.999	1.8039e+11	3051	-9.9900e+02	-9.9900e+02	18.09	16.54
2023	 9	28	22	 2	27	168000	-45.303	144.003	434.999	1.7907e+11	2933	1.9648e+11	-9.9900e+02	18.04	16.45
2023	 9	28	22	 2	28	164000	-45.272	144.080	434.983	1.8001e+11	2974	-9.9900e+02	-9.9900e+02	18.06	16.45
2023	 9	28	22	 2	29	172000	-45.241	144.156	434.967	1.7781e+11	3023	1.9651e+11	-9.9900e+02	18.04	16.45
2023	 9	28	22	 2	30	172000	-45.211	144.232	434.951	1.8222e+11	2790	-9.9900e+02	-9.9900e+02	18.04	16.45
2023	 9	28	22	 2	31	172000	-45.180	144.307	434.935	1.8114e+11	2770	1.9654e+11	-9.9900e+02	18.04	16.45
2023	 9	28	22	 2	32	176000	-45.149	144.383	434.920	1.8316e+11	2761	-9.9900e+02	-9.9900e+02	17.99	16.45
2023	 9	28	22	 2	33	168000	-45.118	144.459	434.904	1.8283e+11	2709	1.9658e+11	-9.9900e+02	17.99	16.45
2023	 9	28	22	 2	34	176000	-45.087	144.534	434.888	1.8541e+11	2577	-9.9900e+02	-9.9900e+02	18.02	16.45
2023	 9	28	22	 2	35	176000	-45.056	144.610	434.872	1.8106e+11	2827	1.8984e+11	-9.9900e+02	17.97	16.45
2023	 9	28	22	 2	36	180000	-45.025	144.685	434.856	1.8298e+11	2817	-9.9900e+02	-9.9900e+02	17.97	16.35
2023	 9	28	22	 2	37	180000	-44.994	144.761	434.840	1.8241e+11	2870	1.9664e+11	-9.9900e+02	17.94	16.35
2023	 9	28	22	 2	38	172000	-44.963	144.836	434.824	1.8239e+11	2927	-9.9900e+02	-9.9900e+02	17.94	16.35
2023	 9	28	22	 2	39	180000	-44.931	144.911	434.808	1.8088e+11	3027	1.9667e+11	-9.9900e+02	17.94	16.35
2023	 9	28	22	 2	41	184000	-44.869	145.061	434.776	1.8507e+11	2843	-9.9900e+02	-9.9900e+02	17.97	16.35
2023	 9	28	22	 2	41	184000	-44.869	145.061	434.776	1.8276e+11	2870	1.9670e+11	-9.9900e+02	17.94	16.35
2023	 9	28	22	 2	42	184000	-44.837	145.136	434.759	1.8331e+11	2853	-9.9900e+02	-9.9900e+02	17.97	16.35
2023	 9	28	22	 2	43	176000	-44.806	145.211	434.743	1.8456e+11	2731	1.9673e+11	-9.9900e+02	17.92	16.35
2023	 9	28	22	 2	44	188000	-44.774	145.286	434.727	1.8545e+11	2753	-9.9900e+02	-9.9900e+02	17.94	16.35
2023	 9	28	22	 2	45	188000	-44.742	145.360	434.711	1.8244e+11	2846	1.9677e+11	-9.9900e+02	17.89	16.35
2023	 9	28	22	 2	46	188000	-44.711	145.435	434.695	1.8372e+11	2913	-9.9900e+02	-9.9900e+02	17.92	16.35
2023	 9	28	22	 2	47	188000	-44.679	145.509	434.678	1.8282e+11	2958	1.9680e+11	-9.9900e+02	17.84	16.35
