# year	month	day	hour	minute	second	millisecond	Latitude	Longitude	Altitude	Ne(WLP)	Te(WLP)	Ne(PIP)	Ne(GIS)	Vf(WLP)	Vf(FPP)
2023	 9	28	23	59	58	196000	23.892	-172.766	414.733	1.8881e+12	2315	1.7485e+12	2.5078e+12	4.11	2.09
2023	 9	28	23	59	59	208000	23.939	-172.723	414.735	1.8809e+12	2160	-9.9900e+02	-9.9900e+02	4.14	2.09
2023	 9	29	 0	 0	 1	208000	24.035	-172.635	414.741	1.8737e+12	2004	1.7485e+12	-9.9900e+02	4.09	2.09
2023	 9	29	 0	 0	 2	212000	24.083	-172.591	414.744	1.8704e+12	2020	-9.9900e+02	-9.9900e+02	4.11	2.09
2023	 9	29	 0	 0	 3	204000	24.130	-172.547	414.747	1.8728e+12	1904	1.7103e+12	-9.9900e+02	4.09	2.09
2023	 9	29	 0	 0	 4	212000	24.178	-172.503	414.750	1.8574e+12	1872	-9.9900e+02	-9.9900e+02	4.16	2.09
2023	 9	29	 0	 0	 5	212000	24.226	-172.459	414.752	1.8332e+12	1917	1.7103e+12	-9.9900e+02	4.09	2.09
2023	 9	29	 0	 0	 6	216000	24.273	-172.415	414.755	1.8252e+12	2018	-9.9900e+02	-9.9900e+02	4.14	2.09
2023	 9	29	 0	 0	 7	216000	24.321	-172.371	414.758	1.8119e+12	1978	1.7102e+12	-9.9900e+02	4.14	2.09
2023	 9	29	 0	 0	 9	216000	24.416	-172.283	414.764	1.8053e+12	2111	-9.9900e+02	-9.9900e+02	4.19	2.09
2023	 9	29	 0	 0	10	220000	24.464	-172.239	414.767	1.8065e+12	2141	1.7102e+12	-9.9900e+02	4.16	2.09
2023	 9	29	 0	 0	10	220000	24.464	-172.239	414.767	1.8114e+12	2093	-9.9900e+02	-9.9900e+02	4.24	2.09
2023	 9	29	 0	 0	11	220000	24.511	-172.195	414.770	1.8023e+12	1973	1.6724e+12	-9.9900e+02	4.16	2.09
2023	 9	29	 0	 0	12	220000	24.559	-172.150	414.773	1.8026e+12	1922	-9.9900e+02	-9.9900e+02	4.16	2.19
2023	 9	29	 0	 0	13	212000	24.607	-172.106	414.776	1.7822e+12	1841	1.6724e+12	-9.9900e+02	4.19	2.19
2023	 9	29	 0	 0	13	212000	24.607	-172.106	414.776	1.7647e+12	1917	-9.9900e+02	-9.9900e+02	4.19	2.19
2023	 9	29	 0	 0	15	224000	24.702	-172.017	414.783	1.7566e+12	1958	1.6724e+12	-9.9900e+02	4.16	2.19
2023	 9	29	 0	 0	16	224000	24.749	-171.973	414.786	1.7497e+12	2174	-9.9900e+02	-9.9900e+02	4.24	2.19
2023	 9	29	 0	 0	16	224000	24.749	-171.973	414.786	1.7349e+12	2189	1.6724e+12	-9.9900e+02	4.21	2.19
2023	 9	29	 0	 0	17	224000	24.797	-171.929	414.789	1.7441e+12	2172	-9.9900e+02	-9.9900e+02	4.31	2.19
2023	 9	29	 0	 0	18	220000	24.844	-171.884	414.792	1.7418e+12	2181	1.6351e+12	-9.9900e+02	4.19	2.19
2023	 9	29	 0	 0	19	228000	24.891	-171.840	414.795	1.7256e+12	2199	-9.9900e+02	-9.9900e+02	4.24	2.19
2023	 9	29	 0	 0	20	228000	24.939	-171.795	414.799	1.7293e+12	2103	1.6350e+12	-9.9900e+02	4.24	2.19
